symbol,date,price,action,trade_profit,total_profit
SHPC,,,STOCK_PROFIT,,-0.7700000000000387
SICL,2023-06-13,788.0,Buy,,
SICL,2023-06-21,810.1,Sell,22.100000000000023,22.100000000000023
SICL,2024-07-16,739.5,Buy,,
SICL,2024-07-30,857.0,Sell,117.5,139.60000000000002
SICL,2025-03-06,861.0,Buy,,
SICL,2025-03-12,805.0,Sell,-56.0,83.60000000000002
SICL,,,STOCK_PROFIT,,83.60000000000002
SIFC,2021-05-08,246.0,Buy,,
SIFC,2021-06-15,480.0,Sell,234.0,234.0
SIFC,2021-07-24,487.0,Buy,,
SIFC,2021-08-02,515.0,Sell,28.0,262.0
SIFC,2021-08-15,608.0,Buy,,
SIFC,2021-08-31,650.0,Sell,42.0,304.0
SIFC,2023-07-16,375.0,Buy,,
SIFC,2023-07-25,372.0,Sell,-3.0,301.0
SIFC,2023-12-27,362.2,Buy,,
SIFC,2023-12-28,360.9,Sell,-1.3000000000000114,299.7
