symbol,date,open,high,low,close,volume,turnover
ILI,2025/06/26,433.00,439.00,433.00,435.25,"11,895","5,184,023.10"
ILI,2025/06/25,430.50,440.00,430.50,435.04,"14,255","6,210,649.60"
JBBD87,2025/06/29,"1,088.00","1,088.00","1,088.00","1,113.00",5,"5,565.00"
JBBD87,2025/06/25,"1,100.00","1,100.00","1,100.00","1,088.00",5,"5,440.00"
JBBL,2025/06/29,317.20,322.00,317.20,320.09,"27,166","8,691,479.10"
JBBL,2025/06/26,315.60,320.00,315.10,317.20,"21,484","6,838,186.60"
JBBL,2025/06/25,316.00,318.90,315.00,316.27,"17,628","5,572,620.10"
JBLB,2025/06/29,"1,290.10","1,320.00","1,290.00","1,311.91","11,579","15,087,367.10"
JBLB,2025/06/26,"1,285.10","1,303.00","1,285.10","1,295.28","6,501","8,416,283.20"
JBLB,2025/06/25,"1,286.10","1,300.10","1,286.10","1,290.24","4,150","5,376,596.10"
JFL,2025/06/29,454.00,464.00,451.10,460.90,"12,295","5,643,929.50"
JFL,2025/06/26,468.00,468.00,455.00,455.79,"13,707","6,270,179.30"
JFL,2025/06/25,462.00,462.00,455.50,458.88,"10,044","4,609,995.60"
JOSHI,2025/06/29,339.90,339.90,314.00,327.47,"256,351","83,996,016.90"
JOSHI,2025/06/26,355.70,380.00,335.20,346.78,"353,539","124,332,443.20"
JOSHI,2025/06/25,393.10,393.10,361.00,362.92,"318,484","116,937,928.70"
JSLBB,2025/06/29,"1,221.10","1,254.30","1,216.20","1,231.81",753,"924,206.00"
JSLBB,2025/06/26,"1,241.00","1,241.00","1,241.00","1,241.00",67,"83,147.00"
JSLBB,2025/06/25,"1,233.00","1,256.00","1,233.00","1,240.36",635,"789,280.40"
KBL,2025/06/29,200.10,207.30,200.00,206.26,"254,031","51,784,147.50"
KBL,2025/06/26,203.00,204.50,200.00,200.40,"148,171","29,839,838.00"
KBL,2025/06/25,203.90,203.90,201.00,201.64,"155,468","31,449,702.00"
KBSH,2025/06/29,"1,862.00","1,887.00","1,850.20","1,859.40",451,"842,208.00"
KBSH,2025/06/26,"1,919.10","1,919.10","1,870.00","1,899.90",513,"967,704.00"
KBSH,2025/06/25,"1,860.00","1,890.00","1,823.00","1,890.00",780,"1,436,621.00"
KDBY,2025/06/29,9.50,9.64,9.50,9.64,"3,600","34,314.00"
KDBY,2025/06/26,9.47,9.67,9.46,9.65,"12,626","121,190.40"
KDBY,2025/06/25,9.50,9.80,9.50,9.65,"37,619","363,731.11"
KDL,2025/06/29,"1,050.00","1,100.00","1,050.00","1,096.63","4,322","4,682,475.90"
KDL,2025/06/26,"1,063.00","1,100.00","1,063.00","1,068.12","5,006","5,384,069.00"
KDL,2025/06/25,"1,076.00","1,096.90","1,076.00","1,083.24","2,946","3,186,449.50"
KEF,2025/06/29,9.00,9.02,8.91,9.02,"33,170","297,368.20"
KEF,2025/06/26,8.91,9.18,8.91,9.00,"13,100","119,444.40"
